data,hora,cidade,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
20/06/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
19/06/2024,19:00,Goiania,22.2,81.0,0.0,5.1
19/06/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
19/06/2024,20:00,Fortaleza,26.5,87.0,2.4,11.9
19/06/2024,20:00,Caxias do Sul,13.8,90.0,0.0,10.2
19/06/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
19/06/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
19/06/2024,21:30,Florianopolis,19.6,89.0,0.2,1.8
20/06/2024,18:30,Salvador,26.1,79.0,0.0,8.2
20/06/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
23/06/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
22/06/2024,16:00,Criciuma,15.9,98.0,0.0,3.6
22/06/2024,17:30,Curitiba,13.6,97.0,0.0,8.1
22/06/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
22/06/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
23/06/2024,16:00,Curitiba,13.6,97.0,0.0,8.1
23/06/2024,16:00,Salvador,26.1,79.0,0.0,8.2
23/06/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
23/06/2024,18:30,Belo Horizonte,19.1,80.0,0.0,3.8
23/06/2024,18:30,Sao Paulo,16.6,90.0,0.0,7.3
27/06/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
26/06/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
26/06/2024,19:00,Belo Horizonte,19.1,80.0,0.0,3.8
26/06/2024,20:00,Goiania,22.2,81.0,0.0,5.1
26/06/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
26/06/2024,20:00,Caxias do Sul,13.8,90.0,0.0,10.2
26/06/2024,21:30,Salvador,26.1,79.0,0.0,8.2
26/06/2024,21:30,Fortaleza,26.5,87.0,2.4,11.9
26/06/2024,21:30,Porto Alegre,19.4,79.0,0.0,17.6
27/06/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
01/07/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
29/06/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
29/06/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
30/06/2024,11:00,Belo Horizonte,19.1,80.0,0.0,3.8
30/06/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
30/06/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
30/06/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
30/06/2024,18:30,Criciuma,15.9,98.0,0.0,3.6
30/06/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
30/06/2024,18:30,Salvador,26.1,79.0,0.0,8.2
04/07/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
03/07/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
03/07/2024,20:00,Criciuma,15.9,98.0,0.0,3.6
03/07/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
03/07/2024,21:30,Curitiba,13.6,97.0,0.0,8.1
03/07/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
