rodada,data,hora,cidade
12,26/06/2024,21:30,"Porto Alegre, Brazil"
12,27/06/2024,19:00,"Rio de Janeiro, Brazil"
13,01/07/2024,20:00,"Sao Paulo, Brazil"
13,29/06/2024,18:30,Cuiaba
13,29/06/2024,18:30,"Rio de Janeiro, Brazil"
13,30/06/2024,11:00,"Belo Horizonte, Brazil"
13,30/06/2024,16:00,Fortaleza
13,30/06/2024,16:00,"Porto Alegre, Brazil"
13,30/06/2024,16:00,"Sao Paulo, Brazil"
13,30/06/2024,18:30,"Criciuma, Brazil"
13,30/06/2024,18:30,"Rio de Janeiro, Brazil"
13,30/06/2024,18:30,Salvador; Brazil
14,04/07/2024,20:00,"Rio de Janeiro, Brazil"
14,03/07/2024,19:00,"Cuiaba, Brazil"
14,03/07/2024,20:00,"Criciuma, Brazil"
14,03/07/2024,20:00,"Rio de Janeiro, Brazil"
14,03/07/2024,21:30,"Curitiba, Brazil"
14,03/07/2024,21:30,"Belo Horizonte, Brazil"
14,03/07/2024,21:30,"Braganca Paulista, Brazil"
14,04/07/2024,19:00,Salvador; Brazil
14,04/07/2024,19:00,"Porto Alegre, Brazil"
14,04/07/2024,20:00,"Sao Paulo, Brazil"
15,07/07/2024,20:30,"Rio de Janeiro, Brazil"
15,06/07/2024,20:00,"Rio de Janeiro, Brazil"
15,06/07/2024,20:00,"Sao Paulo, Brazil"
15,07/07/2024,16:00,"Belo Horizonte, Brazil"
15,07/07/2024,16:00,Fortaleza
15,07/07/2024,16:00,"Caxias do Sul, Brazil"
15,07/07/2024,18:00,Porto Alegre
15,07/07/2024,18:30,"Goiania, Brazil"
15,07/07/2024,18:30,"Sao Paulo, Brazil"
15,07/07/2024,18:30,Salvador; Brazil
16,11/07/2024,21:30,Salvador; Brazil
16,09/07/2024,21:30,"Braganca Paulista, Brazil"
16,10/07/2024,18:30,"Porto Alegre, Brazil"
16,10/07/2024,19:00,"Curitiba, Brazil"
16,10/07/2024,19:00,"Cuiaba, Brazil"
16,10/07/2024,19:00,"Rio de Janeiro, Brazil"
16,11/07/2024,19:30,"Sao Paulo, Brazil"
16,11/07/2024,20:00,"Criciuma, Brazil"
16,11/07/2024,20:00,"Rio de Janeiro, Brazil"
16,11/07/2024,21:30,"Belo Horizonte, Brazil"
17,17/07/2024,21:30,"Fortaleza, Brazil"
17,13/07/2024,16:00,Salvador; Brazil
17,13/07/2024,16:00,"Belo Horizonte, Brazil"
17,16/07/2024,19:00,"Caxias do Sul, Brazil"
17,16/07/2024,21:00,"Sao Paulo, Brazil"
17,17/07/2024,15:00,"Rio de Janeiro, Brazil"
17,17/07/2024,15:00,"Porto Alegre, Brazil"
17,17/07/2024,19:00,"Goiania, Brazil"
17,17/07/2024,20:00,"Sao Paulo, Brazil"
17,17/07/2024,21:30,"Rio de Janeiro, Brazil"
18,21/07/2024,20:00,"Cuiaba, Brazil"
18,20/07/2024,16:00,"Brasilia, Brazil"
18,20/07/2024,18:30,"Rio de Janeiro, Brazil"
18,20/07/2024,21:00,"Sao Paulo, Brazil"
18,21/07/2024,11:00,"Porto Alegre, Brazil"
18,21/07/2024,16:00,"Belo Horizonte, Brazil"
18,21/07/2024,16:00,Salvador; Brazil
18,21/07/2024,18:30,Fortaleza
18,21/07/2024,18:30,"Brasilia, Brazil"
18,21/07/2024,18:30,"Braganca Paulista, Brazil"
19,28/08/2024,19:30,"Criciuma, Brazil"
19,24/07/2024,15:00,"Criciuma, Brazil"
19,24/07/2024,15:00,"Porto Alegre, Brazil"
19,24/07/2024,15:00,"Rio de Janeiro, Brazil"
19,24/07/2024,19:00,"Belo Horizonte, Brazil"
19,24/07/2024,19:30,"Sao Paulo, Brazil"
19,24/07/2024,20:00,Salvador; Brazil
19,24/07/2024,21:30,Goiania
19,24/07/2024,21:30,"Rio de Janeiro, Brazil"
19,25/07/2024,20:00,"Sao Paulo, Brazil"
20,28/07/2024,19:00,"Porto Alegre, Brazil"
20,27/07/2024,19:00,"Caxias do Sul, Brazil"
20,27/07/2024,19:00,"Sao Paulo, Brazil"
20,27/07/2024,20:00,Salvador; Brazil
20,27/07/2024,21:30,"Rio de Janeiro, Brazil"
20,27/07/2024,21:30,"Fortaleza, Brazil"
20,28/07/2024,11:00,"Braganca Paulista, Brazil"
20,28/07/2024,16:00,"Rio de Janeiro, Brazil"
20,28/07/2024,19:00,"Belo Horizonte, Brazil"
20,28/07/2024,19:00,Cuiaba
21,05/08/2024,21:00,"Belo Horizonte, Brazil"
21,03/08/2024,16:00,Salvador; Brazil
21,03/08/2024,19:00,"Rio de Janeiro, Brazil"
21,03/08/2024,20:00,"Goiania, Brazil"
21,03/08/2024,20:00,"Criciuma, Brazil"
21,03/08/2024,21:30,"Sao Paulo, Brazil"
21,04/08/2024,16:00,"Curitiba, Brazil"
21,04/08/2024,16:00,"Sao Paulo, Brazil"
21,04/08/2024,16:00,"Rio de Janeiro, Brazil"
21,04/08/2024,17:00,"Porto Alegre, Brazil"
22,11/08/2024,19:00,"Porto Alegre, Brazil"
22,10/08/2024,16:00,"Fortaleza, Brazil"
22,10/08/2024,19:00,"Cuiaba, Brazil"
22,10/08/2024,21:30,"Sao Paulo, Brazil"
22,10/08/2024,21:30,"Belo Horizonte, Brazil"
22,10/08/2024,21:30,"Rio de Janeiro, Brazil"
22,11/08/2024,11:00,"Caxias do Sul, Brazil"
22,11/08/2024,16:00,Salvador; Brazil
22,11/08/2024,16:00,"Rio de Janeiro, Brazil"
22,11/08/2024,16:00,"Sao Paulo, Brazil"
23,19/08/2024,20:00,Salvador; Brazil
23,17/08/2024,16:00,"Belo Horizonte, Brazil"
23,17/08/2024,16:00,"Porto Alegre, Brazil"
23,17/08/2024,18:30,"Braganca Paulista, Brazil"
23,17/08/2024,21:00,"Rio de Janeiro, Brazil"
23,18/08/2024,16:00,"Goiania, Brazil"
