data,hora,cidade
17/07/2024,21:30,Rio de Janeiro
21/07/2024,20:00,Cuiaba
20/07/2024,16:00,Brasilia
20/07/2024,18:30,Rio de Janeiro
20/07/2024,21:00,Sao Paulo
21/07/2024,11:00,Porto Alegre
21/07/2024,16:00,Belo Horizonte
21/07/2024,16:00,Salvador
21/07/2024,18:30,Fortaleza
21/07/2024,18:30,Brasilia
21/07/2024,18:30,Braganca Paulista
28/08/2024,19:30,Criciuma
24/07/2024,15:00,Criciuma
24/07/2024,15:00,Porto Alegre
24/07/2024,15:00,Rio de Janeiro
24/07/2024,19:00,Belo Horizonte
24/07/2024,19:30,Sao Paulo
24/07/2024,20:00,Salvador
24/07/2024,21:30,Goiania
24/07/2024,21:30,Rio de Janeiro
25/07/2024,20:00,Sao Paulo
28/07/2024,19:00,Porto Alegre
27/07/2024,19:00,Caxias do Sul
27/07/2024,19:00,Sao Paulo
27/07/2024,20:00,Salvador
27/07/2024,21:30,Rio de Janeiro
27/07/2024,21:30,Fortaleza
28/07/2024,11:00,Braganca Paulista
28/07/2024,16:00,Rio de Janeiro
28/07/2024,19:00,Belo Horizonte
28/07/2024,19:00,Cuiaba
05/08/2024,21:00,Belo Horizonte
03/08/2024,16:00,Salvador
03/08/2024,19:00,Rio de Janeiro
03/08/2024,20:00,Goiania
03/08/2024,20:00,Criciuma
03/08/2024,21:30,Sao Paulo
04/08/2024,16:00,Curitiba
04/08/2024,16:00,Sao Paulo
04/08/2024,16:00,Rio de Janeiro
04/08/2024,17:00,Porto Alegre
11/08/2024,19:00,Porto Alegre
10/08/2024,16:00,Fortaleza
10/08/2024,19:00,Cuiaba
10/08/2024,21:30,Sao Paulo
10/08/2024,21:30,Belo Horizonte
10/08/2024,21:30,Rio de Janeiro
11/08/2024,11:00,Caxias do Sul
11/08/2024,16:00,Salvador
11/08/2024,16:00,Rio de Janeiro
11/08/2024,16:00,Sao Paulo
19/08/2024,20:00,Salvador
17/08/2024,16:00,Belo Horizonte
17/08/2024,16:00,Porto Alegre
17/08/2024,18:30,Braganca Paulista
17/08/2024,21:00,Rio de Janeiro
18/08/2024,16:00,Goiania
18/08/2024,16:00,Criciuma
18/08/2024,16:00,Sao Paulo
18/08/2024,18:30,Curitiba
18/08/2024,18:30,Rio de Janeiro
26/08/2024,?,Rio de Janeiro
24/08/2024,16:00,Goiania
24/08/2024,18:30,Sao Paulo
24/08/2024,21:00,Belo Horizonte
25/08/2024,16:00,Salvador
25/08/2024,16:00,Criciuma
25/08/2024,16:00,Fortaleza
25/08/2024,18:30,Sao Paulo
25/08/2024,19:00,Porto Alegre
25/08/2024,20:00,Rio de Janeiro
01/09/2024,18:30,Salvador
31/08/2024,18:30,Cuiaba
31/08/2024,21:00,Rio de Janeiro
01/09/2024,11:00,Belo Horizonte
01/09/2024,11:00,Porto Alegre
01/09/2024,16:00,Sao Paulo
01/09/2024,18:30,Curitiba
01/09/2024,18:30,Rio de Janeiro
01/09/2024,18:30,Caxias do Sul
01/09/2024,18:30,Braganca Paulista
16/09/2024,20:00,Porto Alegre
14/09/2024,16:00,Goiania
14/09/2024,18:30,Curitiba
14/09/2024,21:00,Rio de Janeiro
15/09/2024,16:00,Caxias do Sul
15/09/2024,16:00,Sao Paulo
15/09/2024,16:00,Braganca Paulista
15/09/2024,18:30,Salvador
15/09/2024,18:30,Belo Horizonte
15/09/2024,18:30,Rio de Janeiro
22/09/2024,20:00,Criciuma
21/09/2024,16:00,Sao Paulo
21/09/2024,16:00,Salvador
21/09/2024,18:30,Rio de Janeiro
21/09/2024,21:00,Fortaleza
22/09/2024,16:00,Belo Horizonte
22/09/2024,16:00,Rio de Janeiro
22/09/2024,18:30,Cuiaba
22/09/2024,18:30,Porto Alegre
22/09/2024,18:30,Sao Paulo
29/09/2024,20:00,Rio de Janeiro
28/09/2024,18:30,Campinas
28/09/2024,21:00,Brasilia
29/09/2024,11:00,Caxias do Sul
29/09/2024,16:00,Goiania
29/09/2024,16:00,Fortaleza
29/09/2024,16:00,Brasilia
29/09/2024,18:30,Salvador
29/09/2024,18:30,Belo Horizonte
29/09/2024,18:30,Porto Alegre
05/10/2024,21:00,Rio de Janeiro
03/10/2024,19:00,Criciuma
03/10/2024,21:30,Rio de Janeiro
04/10/2024,21:30,Porto Alegre
05/10/2024,16:30,Curitiba
05/10/2024,16:30,Belo Horizonte
05/10/2024,16:30,Braganca Paulista
05/10/2024,19:00,Salvador
05/10/2024,19:00,Sao Paulo
05/10/2024,19:00,Cuiaba
20/10/2024,20:00,Caxias do Sul
16/10/2024,21:45,Fortaleza
16/10/2024,21:45,Campinas
17/10/2024,20:00,Sao Paulo
17/10/2024,20:00,Rio de Janeiro
18/10/2024,19:00,Goiania
18/10/2024,20:00,Rio de Janeiro
18/10/2024,21:30,Belo Horizonte
19/10/2024,16:00,Porto Alegre
19/10/2024,16:00,Salvador
28/10/2024,21:00,Rio de Janeiro
26/10/2024,16:30,Rio de Janeiro
26/10/2024,16:30,Porto Alegre
26/10/2024,16:30,Sao Paulo
26/10/2024,16:30,Salvador
26/10/2024,18:30,Curitiba
26/10/2024,19:00,Belo Horizonte
26/10/2024,19:00,Braganca Paulista
26/10/2024,21:00,Criciuma
28/10/2024,19:00,Cuiaba
06/11/2024,21:00,Belo Horizonte
01/11/2024,21:00,Rio de Janeiro
02/11/2024,16:00,Braganca Paulista
02/11/2024,18:30,Curitiba
02/11/2024,18:30,Caxias do Sul
04/11/2024,20:00,Sao Paulo
05/11/2024,21:30,Salvador
05/11/2024,21:30,Rio de Janeiro
05/11/2024,21:30,Porto Alegre
06/11/2024,21:00,Goiania
13/11/2024,20:00,Rio de Janeiro
08/11/2024,19:00,Porto Alegre
08/11/2024,21:30,Sao Paulo
09/11/2024,16:30,Rio de Janeiro
09/11/2024,16:30,Salvador
09/11/2024,19:00,Goiania
09/11/2024,19:00,Belo Horizonte
09/11/2024,19:00,Fortaleza
09/11/2024,19:00,Caxias do Sul
09/11/2024,21:00,Sao Paulo
22/11/2024,21:30,Rio de Janeiro
20/11/2024,11:00,Sao Paulo
20/11/2024,16:30,Curitiba
20/11/2024,16:30,Criciuma
20/11/2024,16:30,Braganca Paulista
20/11/2024,18:00,Salvador
20/11/2024,19:00,Cuiaba
20/11/2024,19:00,Porto Alegre
20/11/2024,21:30,Belo Horizonte
21/11/2024,20:00,Rio de Janeiro
27/11/2024,21:00,Belo Horizonte
23/11/2024,19:30,Goiania
23/11/2024,19:30,Rio de Janeiro
23/11/2024,19:30,Caxias do Sul
23/11/2024,21:30,Sao Paulo
24/11/2024,16:00,Salvador
24/11/2024,16:00,Sao Paulo
24/11/2024,16:00,Porto Alegre
26/11/2024,19:00,Rio de Janeiro
26/11/2024,20:00,Fortaleza
01/12/2024,18:30,Salvador
26/11/2024,21:30,Belo Horizonte
26/11/2024,21:30,Sao Paulo
30/11/2024,19:30,Criciuma
30/11/2024,19:30,Cuiaba
30/11/2024,21:30,Rio de Janeiro
01/12/2024,16:00,Rio de Janeiro
01/12/2024,16:00,Porto Alegre
01/12/2024,18:30,Curitiba
01/12/2024,18:30,Braganca Paulista
05/12/2024,20:00,Rio de Janeiro
03/12/2024,20:00,Sao Paulo
04/12/2024,19:00,Rio de Janeiro
04/12/2024,20:00,Criciuma
04/12/2024,20:00,Sao Paulo
04/12/2024,20:00,Salvador
04/12/2024,21:30,Goiania
04/12/2024,21:30,Belo Horizonte
04/12/2024,21:30,Porto Alegre
05/12/2024,20:00,Curitiba
08/12/2024,16:00,Braganca Paulista
08/12/2024,16:00,Belo Horizonte
08/12/2024,16:00,Salvador
08/12/2024,16:00,Rio de Janeiro
08/12/2024,16:00,Cuiaba
08/12/2024,16:00,Rio de Janeiro
08/12/2024,16:00,Fortaleza
08/12/2024,16:00,Porto Alegre
08/12/2024,16:00,Caxias do Sul
08/12/2024,16:00,Sao Paulo
