rodada,jogo,mandante,visitante,placar,gols
33,6,Corinthians,Finished,1 x 1,Romero 23'; Paulinho 67'
33,7,Goiás,Santos,0 x 1,J.Furch 87'
33,8,Eulon,Bahia,0 x 3,Ronald 90'+8; Deyverson 22' (Pen )
33,9,Botafogo,Grêmio,3 x 4,"M.Freitas 46'; L Suárez 69"" 53' 50'"
34,1,Coritiba,Cruzeiro,1 x 0,Robson 90'+1
34,10,Vasco,Finished,2 x 1,D. Payet 90'+4; Mastriani 13'
34,2,@,Finished,1 x 1,Arrascaeta 45'+2
34,3,Palmeiras,Internacional,3 x 0,Rony 88'
34,4,GREMIO,Grêmio,0 x 1,
34,5,Bragantino,Botafogo,2 x 2,"T Borbas 90'+6,3'; Victor Sá 35'"
34,6,Atlético-MG,Finished,2 x 1,Arana 70'; Dodô 88'; Hulk 41' (Pen)
34,7,(Ae,Finished,1 x 1,Everaldo 73' (Pen); A. Canobbio 87'
34,8,@u ida,Finished,2 x 1,Pitta 90'+2 (Pen); YPikachu 90'+8
34,9,Erro,Erro,Erro,
35,1,Corinthians,Finished,1 x 5,"R.Augusto 67'; Thaciano 85' (Pen ) 29""; Ademir 75'; Cauly 16'"
35,10,Goiás,Cruzeiro,0 x 1,Robert 90'+6
35,2,Erro,Erro,Erro,
35,3,Fluminense,Finished,2 x 1,John Kenneoy 63'; Jese 90'; Cano 45'+1
35,4,Atlético-MG,Grêmio,3 x 0,Hulk 58'
35,5,Botafogo,Finished,1 x 1,Messias 90'
35,6,América-MG,Flamengo,0 x 3,ERibeiro 85'; Pedro 50'
35,7,Forall,Fortaleza,2 x 2,Calebe 70'; Z Rafael 77'; T Galhardo 20'; Veiga 66'
35,8,RccBul,Internacional,1 x 0,EValencia 30' (Pen)
35,9,Erro,Erro,Erro,
36,1,Vasco,Corinthians,2 x 4,P Vegetti 25'; Giovane 90'+4; Moscardo 61'; A. Romero 45' 13'
36,10,Fohieln,Finished,1 x 2,ESasha 45'+3; Calebe 23'; YPikachu 14'
36,2,Santos,Fluminense,0 x 3,J.Arias 36'; M. Martinelli 10'
36,3,Flamengo,Atlético-MG,0 x 3,Rubens 82'
36,4,Erro,Erro,Erro,C. Paulista 90'+7
36,5,Cuiabá,Internacional,0 x 2,
36,6,Coritiba,Finished,1 x 1,Edu 90'+9; Tiquinho 90'+7 (Pen)
36,7,Palmeiras,América-MG,4 x 0,"J.López 90'+2,88""; Eder 40' (OGI"
36,8,GREMIO,Finished,2 x 1,F Cristaldo 56'; EMorelli 28'; Ferreira 50'
36,9,(Ae,Finished,1 x 1,V.Roque 65'
37,1,Corinthians,Finished,1 x 2,Romero 57'; Wanderson 66'
37,10,Redhul,Bragantino,1 x 0,L Ortiz 75'
