rodada,jogo,mandante,visitante,placar,gols
23,1,Flamengo,Athletico,0 x 3,Vitor Bueno 90'+7 (Pen); 4 Santana 84'; Cacá 27'
23,10,Atlético-MG,Botafogo,1 x 0,Paulinho 81'
23,2,Erro,Erro,Erro,Renê 70'; J. Calleri 45'+4 (Pen)
23,3,Forall,Finished,2 x 1,YPikachu 90'+4; Pearo 33'
23,4,Santos,Cruzeiro,0 x 3,Rodrigues 70'; Matheus Jussa 41'
23,5,Coritiba,Bahia,2 x 4,Andrey 90'+4; Biel 74'; Ademir 34'; Thaciano 30'; RRatão 11'
23,6,Bragantino,Grêmio,2 x 0,Vitinho 45'+1; J.Pedro 20' (OG)
23,7,Euon,Cuiabá,2 x 2,Wvellington Silva 41'; Felipe Azevedo 32'; Deyverson 35' (Pen); Rodriguinho 11'
23,8,Palmeiras,Goiás,1 x 0,Breno Lopes 90'+6
23,9,Vasco,Fluminense,4 x 2,G.Pec 85' 74'; Lima 56'; P Vegetti 50'; Marcelo 46'
24,1,Bahia,Finished,1 x 2,J. Furch 90'+4
24,10,Eulon,Atlético-MG,1 x 0,Paulinho 42'
24,2,Rerul,América-MG,0 x 2,Evangelista 90'+10; Jadsom 36'
24,3,Erro,Erro,Erro,
24,4,Fluminense,Cruzeiro,1 x 0,LFernandez 67'
24,5,Fohieln,Finished,1 x 2,Rodriguez 79'; J.M.Lucero 53' (Pen); Zé Welison 16'
24,6,Vasco,Coritiba,5 x 1,Gomez 80'; PVegetti 63' 50'; Rossi 34'
24,7,Athletico,Finished,2 x 1,Santana 90'; Carlos De Pena 36'; Erick 24'
24,8,GREMIO,Grêmio,1 x 0,
24,9,Corinthians,Botafogo,1 x 0,
25,1,Flamengo,Bahia,1 x 0,Pedro 61' (Pen)
25,10,Botafogo,Finished,1 x 1,Tiquinho 52'; LHalter 27'
25,2,Forall,Fortaleza,1 x 1,T Galhardo 44' (Pen)
25,3,Euon,Cuiabá,3 x 0,FSobral 87'; Empereur 64'; Clayson 57'
25,4,Erro,Erro,Erro,"Calleri 45'+2,40'"
25,5,Internacional,Atlético-MG,0 x 2,Gomes 81'; Hulk 73'
25,6,Coritiba,Athletico,2 x 0,Slimani 45'+3; VLuis 14'
25,7,Cruzeiro,Finished,1 x 1,M.Benitez 28'
25,8,Santos,Vasco,4 x 1,"Y Soteldo 75'; P Vegetti 31'; M. Leonardo 45'+3,15'"
25,9,Bragantino,Finished,2 x 1,E Ramires 90'; Endrick 15'; E Sasha 61' (Pen)
26,1,Goiás,Bahia,4 x 6,"João Magno 50'; Biel 90'+5; Matheus Babi 45'+4; RRatão 56'; Guilherme Marques 45'+2; Everaldo 53, 37' 15'; Gilberto 18'"
26,10,Euon,Cuiabá,0 x 0,
26,2,Erro,Erro,Erro,
26,3,Corinthians,Flamengo,1 x 1,Fábio Santos 79' (Pen)
26,4,Fluminense,Botafogo,0 x 2,Tiquinho 22'
26,5,Internacional,Grêmio,3 x 2,Patrick 70'
