Imagem,Mandante,Visitante,Placar
rodada_19_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_19_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_19_jogo_5.png,WG,São Paulo,2 x 2
rodada_19_jogo_6.png,Vitória,Flamengo,1 x 2
rodada_19_jogo_7.png,Atlético-GO,x2,1 x 1
rodada_19_jogo_8.png,Fluminense,Palmeiras,1 x 0
rodada_19_jogo_9.png,Corinthians,Grêmio,2 x 2
rodada_1_jogo_1.png,Criciúma,Juventude,1 x 1
rodada_1_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_1_jogo_2.png,Internacional,Bahia,2 x 1
rodada_1_jogo_3.png,Fluminense,RB Bragantino,2 x 2
rodada_1_jogo_4.png,São Paulo,Fortaleza,1 x 2
rodada_1_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_1_jogo_6.png,Atlético-GOEx2,Flamengo,1 x 2
rodada_1_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_1_jogo_8.png,Vasco,Grêmio,2 x 1
rodada_1_jogo_9.png,Cruzeiro,Botafogo,3 x 2
rodada_20_jogo_1.png,Juventude,Criciúma,1 x 2
rodada_20_jogo_10.png,Grêmio,Vasco,1 x 0
rodada_20_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_20_jogo_3.png,Bahia,Internacional,1 x 1
rodada_20_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_20_jogo_5.png,Fortaleza,São Paulo,1 x 0
rodada_20_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_20_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_20_jogo_8.png,Atlético-MGD,Corinthians,2 x 1
rodada_20_jogo_9.png,Cuiabá,Athletico,1 x 2
rodada_21_jogo_1.png,Vitória,Cuiabá,1 x 0
rodada_21_jogo_10.png,Cruzeiro,Fortaleza,1 x 2
rodada_21_jogo_2.png,Vasco,RB Bragantino,2 x 2
rodada_21_jogo_3.png,Atlético-G01,Botafogo,1 x 4
rodada_21_jogo_4.png,Criciúma,Atlético-MVIG,2 x 1
rodada_21_jogo_5.png,São Paulo,Flamengo,1 x 0
rodada_21_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_21_jogo_7.png,Corinthians,Juventude,1 x 1
rodada_21_jogo_8.png,Fluminense,Bahia,1 x 0
rodada_21_jogo_9.png,Internacional,Palmeiras,1 x 1
rodada_22_jogo_1.png,Fortaleza,Criciúma,1 x 0
rodada_22_jogo_10.png,Internacional,Athletico,2 x 2
rodada_22_jogo_2.png,Cuiabá,Grêmio,1 x 3
rodada_22_jogo_3.png,Corinthians,RB Bragantino,1 x 1
rodada_22_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_22_jogo_5.png,Vasco,Fluminense,2 x 0
rodada_22_jogo_6.png,Juventude,Botafoco,3 x 2
rodada_22_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_22_jogo_8.png,Flamengo,Palmeiras,1 x 1
rodada_22_jogo_9.png,@,São Paulo,1 x 0
rodada_23_jogo_1.png,Atlético-MIG,Cuiabá,1 x 1
rodada_23_jogo_10.png,Vitória,Cruzeiro,2 x 2
rodada_23_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_23_jogo_3.png,RB Bragantino,Fortaleza,1 x 2
rodada_23_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_23_jogo_5.png,Atlético-GO,Internacional,1 x 0
rodada_23_jogo_6.png,Criciúma,Vasco,2 x 2
rodada_23_jogo_7.png,Palmeiras,São Paulo,2 x 1
rodada_23_jogo_8.png,Athletico,Juventude,1 x 2
rodada_23_jogo_9.png,Botafogo,Flamengo,4 x 1
rodada_24_jogo_1.png,Atlético-G01,Juventude,2 x 1
rodada_24_jogo_10.png,Vasco,Athletico,2 x 1
rodada_24_jogo_2.png,Palmeiras,Cuiabá,5 x 0
rodada_24_jogo_3.png,Atlético-MVIG,Fluminense,0 x 2
rodada_24_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_24_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_24_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_24_jogo_7.png,São Paulo,Vitória,2 x 1
rodada_24_jogo_8.png,Internacional,Cruzeiro,1 x 0
rodada_24_jogo_9.png,Flamengo,RB Bragantino,2 x 1
rodada_25_jogo_1.png,Cuiabá,Criciúma,2 x 1
rodada_25_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_25_jogo_2.png,Botafogo,Fortaleza,2 x 0
rodada_25_jogo_3.png,Cruzeiro,Atlético-GO,3 x 1
rodada_25_jogo_4.png,Grêmio,Atlético-MG,2 x 3
rodada_25_jogo_5.png,Corinthians,x2,2 x 1
rodada_25_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_25_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_25_jogo_8.png,Juventude,Internacional,1 x 3
rodada_25_jogo_9.png,RB Bragantino,Bahia,2 x 1
rodada_26_jogo_1.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_26_jogo_10.png,Internacional,Cuiabá,3 x 0
rodada_26_jogo_2.png,Athletico,VUL,1 x 1
rodada_26_jogo_3.png,Botafogo,Corinthians,2 x 1
rodada_26_jogo_4.png,Juventude,Fluminense,2 x 1
rodada_26_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_26_jogo_6.png,RB Bragantino,Grêmio,2 x 2
rodada_26_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_26_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_26_jogo_9.png,Flamengo,Vasco,1 x 1
rodada_27_jogo_1.png,Corinthians,Atlético-GO,3 x 0
rodada_27_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_27_jogo_2.png,Vitória,Juventude,1 x 0
rodada_27_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_27_jogo_4.png,Fortaleza,Bahia,4 x 1
rodada_27_jogo_5.png,Atlético-MG,RB Bragantino,3 x 0
rodada_27_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_27_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_27_jogo_8.png,Grêmio,Flamengo,3 x 2
rodada_27_jogo_9.png,@E,São Paulo,1 x 3
rodada_28_jogo_1.png,Palmeiras,Atlético-MVIG,2 x 1
rodada_28_jogo_10.png,Flamengo,Athletico,1 x 0
rodada_28_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_28_jogo_3.png,Juventude,RB Bragantino,1 x 1
rodada_28_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_28_jogo_5.png,Fortaleza,Cuiabá,1 x 0
rodada_28_jogo_6.png,VB,São Paulo,3 x 1
rodada_28_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_28_jogo_8.png,Cruzeiro,Vasco,1 x 1
rodada_28_jogo_9.png,Internacional,Vitória,3 x 1
rodada_29_jogo_1.png,Criciúma,Atlético-GO,2 x 0
rodada_29_jogo_10.png,Vasco,Juventude,1 x 1
rodada_29_jogo_2.png,Fluminense,Cruzeiro,1 x 0
rodada_29_jogo_3.png,Grêmio,Fortaleza,3 x 1
rodada_29_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_29_jogo_5.png,Atlético-MVIG,Vitória,2 x 2
rodada_29_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_29_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_29_jogo_8.png,Corinthians,Internacional,2 x 2
rodada_29_jogo_9.png,Cuiabá,São Paulo,2 x 0
rodada_2_jogo_1.png,Bahia,Fluminense,2 x 1
rodada_2_jogo_10.png,Botafogo,Atlético-GO,1 x 0
rodada_2_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_2_jogo_3.png,Grêmio,Athletico,2 x 0
rodada_2_jogo_4.png,RB Bragantino,Vasco,2 x 1
rodada_2_jogo_5.png,Atlético-MVIG,Criciúma,1 x 1
rodada_2_jogo_6.png,Fortaleza,Cruzeiro,1 x 1
rodada_2_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_2_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_2_jogo_9.png,Flamengo,São Paulo,2 x 1
rodada_30_jogo_1.png,Fortaleza,x2,1 x 1
rodada_30_jogo_10.png,Juventude,Palmeiras,3 x 5
rodada_30_jogo_2.png,São Paulo,Vasco,3 x 0
rodada_30_jogo_3.png,Corinthians,Athletico,5 x 2
rodada_30_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_30_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_30_jogo_6.png,Botafogo,Criciúma,1 x 1
rodada_30_jogo_7.png,Cruzeiro,Bahia,1 x 1
rodada_30_jogo_8.png,Internacional,Grêmio,1 x 0
rodada_30_jogo_9.png,Vitória,RB Bragantino,1 x 0
rodada_31_jogo_1.png,Flamengo,Juventude,4 x 2
rodada_31_jogo_10.png,Vasco,Bahia,3 x 2
rodada_31_jogo_2.png,Grêmio,Atlético-GO,3 x 1
rodada_31_jogo_3.png,Palmeiras,Fortaleza,2 x 2
rodada_31_jogo_4.png,Vitória,Fluminense,2 x 1
rodada_31_jogo_5.png,Athletico,Cruzeiro,3 x 0
rodada_31_jogo_6.png,Atlético-IVIG,Internacional,1 x 3
rodada_31_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
